t,c,o,h,l,v,s
1546358400,5.65,5.72,5.74,5.62,5997700,ok
1546444800,5.65,5.68,5.72,5.62,5197100,ok
1546531200,5.63,5.63,5.67,5.62,3503800,ok
1546790400,5.64,5.67,5.71,5.64,10357800,ok
1546876800,5.65,5.67,5.71,5.64,11506600,ok
1546963200,5.65,5.67,5.69,5.64,12029200,ok
1547049600,5.65,5.66,5.69,5.62,8110200,ok
1547136000,5.65,5.66,5.68,5.62,6384100,ok
1547395200,5.65,5.65,5.68,5.62,3890800,ok
1547481600,5.67,5.65,5.7,5.63,9372200,ok
1547568000,5.65,5.67,5.67,5.64,5698700,ok
1547654400,5.65,5.65,5.65,5.62,6065200,ok
1547740800,5.67,5.65,5.68,5.63,4821400,ok
1548086400,5.77,5.72,5.77,5.67,16365500,ok
1548172800,5.66,5.72,5.75,5.66,12427100,ok
1548259200,5.65,5.68,5.71,5.62,13396900,ok
1548345600,5.68,5.69,5.69,5.65,9700600,ok
1548604800,5.66,5.7,5.7,5.64,10607400,ok
1548691200,5.67,5.66,5.69,5.64,13759700,ok
1548777600,5.66,5.65,5.68,5.64,6977400,ok
1548864000,5.62,5.68,5.7,5.61,12755500,ok
1549209600,5.65,5.71,5.71,5.62,6681700,ok
1549468800,5.65,5.68,5.69,5.65,4447800,ok
1549555200,5.67,5.64,5.68,5.64,8591900,ok
1549814400,5.76,5.68,5.78,5.65,9143600,ok
1549900800,5.82,5.78,5.85,5.75,17708600,ok
1549987200,5.78,5.83,5.84,5.73,8183400,ok
1550073600,5.78,5.81,5.81,5.73,3626400,ok
1550160000,5.7,5.8,5.8,5.68,5196700,ok
1550419200,5.71,5.72,5.75,5.68,7905300,ok
1550505600,5.69,5.69,5.72,5.67,10313000,ok
1550592000,5.76,5.71,5.8,5.67,15608300,ok
1550678400,5.84,5.77,5.84,5.76,19155000,ok
1550764800,5.84,5.85,5.88,5.79,11192700,ok
1551024000,5.84,5.85,5.85,5.8,12861400,ok
1551110400,5.88,5.84,5.88,5.83,8158300,ok
1551196800,5.86,5.88,5.89,5.84,7619500,ok
1551283200,5.85,5.86,5.87,5.82,20809000,ok
1551369600,5.68,5.84,5.85,5.65,19454300,ok
1551628800,5.64,5.62,5.69,5.62,9008100,ok
1551715200,5.59,5.62,5.66,5.59,11373000,ok
1551801600,5.52,5.62,5.63,5.51,14276600,ok
1551888000,5.45,5.5,5.53,5.45,14502300,ok
1551974400,5.39,5.47,5.49,5.38,13433700,ok
1552233600,5.28,5.42,5.44,5.28,9575500,ok
1552320000,5.37,5.3,5.39,5.29,14225600,ok
1552406400,5.45,5.39,5.47,5.38,11804600,ok
1552492800,5.47,5.47,5.5,5.45,8977500,ok
1552579200,5.48,5.48,5.52,5.46,13994900,ok
1552838400,5.48,5.49,5.51,5.45,10362900,ok
1552924800,5.47,5.49,5.5,5.45,10348500,ok
1553011200,5.39,5.47,5.48,5.38,13273000,ok
1553097600,5.33,5.4,5.46,5.31,16820100,ok
1553184000,5.33,5.38,5.38,5.31,10230500,ok
1553443200,5.12,5.17,5.22,5.1,13937300,ok
1553529600,5.12,5.14,5.2,5.09,15074700,ok
1553616000,5.07,5.13,5.15,5.04,17238700,ok
1553702400,5.11,5.07,5.14,5.07,12355900,ok
1553788800,5.15,5.13,5.19,5.11,12417500,ok
1554048000,5.08,5.15,5.17,5.08,9599200,ok
1554134400,5.12,5.1,5.13,5.09,7280700,ok
