t,c,o,h,l,v,s
1546358400,0.91,0.915,0.915,0.9,179200,ok
1546444800,0.92,0.91,0.92,0.905,148500,ok
1546531200,0.925,0.92,0.93,0.91,97200,ok
1546790400,0.945,0.93,0.95,0.93,105000,ok
1546876800,0.93,0.94,0.95,0.93,202500,ok
1546963200,0.93,0.93,0.95,0.93,433200,ok
1547049600,0.945,0.95,0.95,0.94,314900,ok
1547136000,0.945,0.945,0.95,0.94,233200,ok
1547395200,0.915,0.94,0.945,0.91,245600,ok
1547481600,0.915,0.92,0.93,0.915,172600,ok
1547568000,0.915,0.915,0.925,0.91,1125100,ok
1547654400,0.92,0.915,0.925,0.915,1923200,ok
1547740800,0.92,0.93,0.935,0.915,1063300,ok
1548086400,0.94,0.925,0.94,0.925,1174500,ok
1548172800,0.965,0.945,0.975,0.94,2267600,ok
1548259200,0.96,0.975,1.01,0.96,1413400,ok
1548345600,0.96,0.96,0.975,0.96,1069800,ok
1548604800,0.935,0.975,0.975,0.935,533500,ok
1548691200,0.92,0.92,0.93,0.91,1141500,ok
1548777600,0.915,0.935,0.935,0.915,181000,ok
1548864000,0.92,0.93,0.93,0.915,264600,ok
1549209600,0.92,0.93,0.93,0.92,83900,ok
1549468800,0.92,0.92,0.93,0.92,86100,ok
1549555200,0.92,0.925,0.935,0.92,321500,ok
1549814400,0.95,0.93,0.96,0.93,209700,ok
1549900800,0.935,0.955,0.955,0.93,371900,ok
1549987200,0.915,0.935,0.94,0.915,778800,ok
1550073600,0.915,0.92,0.935,0.905,1659800,ok
1550160000,0.925,0.925,0.93,0.92,225700,ok
1550419200,0.92,0.925,0.93,0.92,487400,ok
1550505600,0.92,0.92,0.925,0.915,376400,ok
1550592000,0.955,0.92,0.955,0.92,1363700,ok
1550678400,0.965,0.96,0.97,0.96,1558100,ok
1550764800,0.98,0.965,0.985,0.955,1029000,ok
1551024000,0.985,0.98,0.99,0.975,1093100,ok
1551110400,0.99,0.985,0.995,0.98,1514500,ok
1551196800,0.99,0.98,0.99,0.98,403500,ok
1551283200,0.95,0.99,0.99,0.94,370700,ok
1551369600,0.97,0.95,0.975,0.94,256100,ok
1551628800,0.965,0.95,0.965,0.95,104300,ok
1551715200,0.95,0.965,0.965,0.94,102800,ok
1551801600,0.95,0.945,0.95,0.94,508300,ok
1551888000,0.95,0.945,0.955,0.94,157100,ok
1551974400,0.94,0.955,0.955,0.935,225100,ok
1552233600,0.93,0.94,0.94,0.93,838800,ok
1552320000,0.93,0.945,0.95,0.925,718800,ok
1552406400,0.94,0.93,0.94,0.92,396500,ok
1552492800,0.93,0.945,0.945,0.925,550200,ok
1552579200,0.935,0.935,0.945,0.925,902000,ok
1552838400,0.945,0.94,0.945,0.925,156800,ok
1552924800,0.935,0.945,0.945,0.93,536000,ok
1553011200,0.93,0.935,0.935,0.925,1336700,ok
1553097600,0.94,0.94,0.94,0.925,388500,ok
1553184000,0.925,0.94,0.94,0.92,486800,ok
1553443200,0.92,0.925,0.945,0.915,363600,ok
1553529600,0.91,0.925,0.93,0.91,982900,ok
1553616000,0.905,0.915,0.915,0.9,535200,ok
1553702400,0.9,0.905,0.91,0.9,922400,ok
1553788800,0.93,0.935,0.95,0.92,877600,ok
1554048000,0.935,0.94,0.95,0.93,1074200,ok
1554134400,0.925,0.94,0.94,0.91,827000,ok
1554220800,0.92,0.925,0.925,0.915,367800,ok
1554307200,0.915,0.925,0.925,0.91,337800,ok
1554393600,0.91,0.925,0.925,0.91,340100,ok
1554652800,0.915,0.92,0.92,0.905,609300,ok
1554739200,0.915,0.92,0.92,0.91,447400,ok
1554825600,0.915,0.915,0.92,0.91,263400,ok
1554912000,0.94,0.915,0.945,0.915,3249200,ok
1554998400,0.945,0.955,0.97,0.94,2564300,ok
1555257600,0.94,0.945,0.96,0.93,303200,ok
1555344000,0.925,0.93,0.935,0.92,156800,ok
1555430400,0.92,0.945,0.945,0.91,618700,ok
1555516800,0.91,0.92,0.92,0.91,871700,ok
1555603200,0.925,0.915,0.925,0.91,273200,ok
1555862400,0.935,0.92,0.94,0.91,543000,ok
1555948800,0.92,0.935,0.935,0.915,322200,ok
1556035200,0.925,0.93,0.935,0.92,215600,ok
1556121600,0.935,0.925,0.935,0.925,272200,ok
1556208000,0.93,0.93,0.93,0.92,263000,ok
1556467200,0.925,0.93,0.935,0.92,222200,ok
1556553600,0.925,0.92,0.925,0.915,141000,ok
1556726400,0.915,0.925,0.925,0.91,398000,ok
1556812800,0.91,0.91,0.92,0.905,937200,ok
1557072000,0.91,0.905,0.91,0.89,933600,ok
1557158400,0.9,0.91,0.91,0.89,649800,ok
1557244800,0.89,0.9,0.9,0.885,776700,ok
1557331200,0.9,0.89,0.9,0.885,557800,ok
1557417600,0.89,0.905,0.905,0.87,1148200,ok
1557676800,0.87,0.885,0.885,0.865,992500,ok
1557763200,0.87,0.88,0.88,0.85,1138700,ok
1557849600,0.885,0.86,0.885,0.86,806800,ok
1557936000,0.86,0.88,0.885,0.855,1169700,ok
1558022400,0.865,0.86,0.87,0.855,956500,ok
1558368000,0.86,0.86,0.865,0.845,872500,ok
1558540800,0.85,0.855,0.855,0.845,1174700,ok
1558627200,0.845,0.85,0.855,0.84,589800,ok
1558886400,0.835,0.84,0.86,0.83,303700,ok
1558972800,0.865,0.83,0.865,0.82,1164700,ok
1559059200,0.865,0.85,0.875,0.85,88700,ok
1559145600,0.86,0.86,0.875,0.85,263900,ok
1559232000,0.86,0.875,0.875,0.845,322100,ok
1559491200,0.85,0.855,0.86,0.85,481800,ok
1559577600,0.855,0.85,0.855,0.84,114300,ok
1559836800,0.86,0.855,0.86,0.845,256400,ok
1560096000,0.865,0.865,0.865,0.85,329400,ok
1560182400,0.87,0.87,0.87,0.855,218900,ok
1560268800,0.855,0.865,0.865,0.85,424800,ok
1560355200,0.85,0.85,0.85,0.84,893200,ok
1560700800,0.875,0.87,0.9,0.86,1441900,ok
1560787200,0.89,0.88,0.895,0.88,1883900,ok
1560873600,0.885,0.895,0.895,0.875,552800,ok
1560960000,0.865,0.885,0.885,0.865,391200,ok
1561046400,0.875,0.875,0.885,0.86,405100,ok
1561305600,0.845,0.88,0.88,0.845,1253500,ok
1561392000,0.85,0.845,0.855,0.845,409300,ok
1561478400,0.845,0.845,0.85,0.84,428800,ok
1561564800,0.83,0.845,0.855,0.83,2723700,ok
1561651200,0.83,0.855,0.855,0.825,2256000,ok
1561910400,0.84,0.845,0.845,0.835,1071600,ok
1561996800,0.835,0.84,0.84,0.82,2060500,ok
1562083200,0.82,0.83,0.83,0.815,1671100,ok
1562169600,0.82,0.825,0.83,0.815,1054600,ok
1562256000,0.82,0.82,0.82,0.81,1254200,ok
1562515200,0.81,0.82,0.82,0.805,805900,ok
1562601600,0.81,0.81,0.815,0.8,690900,ok
1562688000,0.81,0.81,0.815,0.8,747300,ok
1562774400,0.805,0.81,0.81,0.795,2103900,ok
1562860800,0.8,0.805,0.805,0.795,1261300,ok
1563120000,0.815,0.8,0.815,0.8,835700,ok
1563206400,0.805,0.82,0.82,0.8,1652700,ok
1563292800,0.805,0.805,0.81,0.79,1722200,ok
1563379200,0.8,0.8,0.8,0.795,845300,ok
1563465600,0.805,0.8,0.805,0.79,1617500,ok
1563724800,0.79,0.8,0.8,0.79,1571800,ok
1563811200,0.785,0.79,0.795,0.78,1369700,ok
1563897600,0.78,0.78,0.78,0.77,1513700,ok
