t,c,o,h,l,v,s
1546358400,6.17,6.15,6.18,6.11,996800,ok
1546444800,6.15,6.15,6.18,6.1,917700,ok
1546531200,6.13,6.15,6.15,6.09,1104900,ok
1546790400,5.75,6.11,6.14,5.69,8680300,ok
1546876800,5.15,5.81,5.81,5.13,14457600,ok
1546963200,5.0,5.25,5.41,5.0,15009900,ok
1547049600,4.99,5.1,5.15,4.92,13308200,ok
1547136000,5.06,5.04,5.11,4.97,11568200,ok
1547395200,4.97,5.09,5.11,4.96,8108800,ok
1547481600,4.98,4.98,5.01,4.94,6077700,ok
1547568000,4.98,5.0,5.02,4.96,4660900,ok
1547654400,5.25,5.0,5.26,4.97,13929500,ok
1547740800,5.3,5.34,5.38,5.26,12923500,ok
1548086400,5.49,5.33,5.49,5.22,6131000,ok
1548172800,5.5,5.47,5.53,5.42,3468800,ok
1548259200,5.62,5.5,5.74,5.48,8374600,ok
1548345600,5.74,5.68,5.81,5.67,7098400,ok
1548604800,5.58,5.8,5.8,5.53,5550400,ok
1548691200,5.58,5.58,5.67,5.53,4320100,ok
1548777600,5.51,5.55,5.58,5.41,3981100,ok
1548864000,5.4,5.51,5.59,5.4,7428100,ok
1549209600,5.45,5.43,5.52,5.43,1840400,ok
1549468800,5.53,5.45,5.55,5.45,2679800,ok
1549555200,5.5,5.5,5.52,5.47,3916600,ok
1549814400,5.49,5.5,5.52,5.45,7050800,ok
1549900800,5.45,5.45,5.49,5.4,4983800,ok
1549987200,5.44,5.45,5.47,5.42,6907300,ok
1550073600,5.45,5.45,5.46,5.43,5201200,ok
1550160000,5.43,5.43,5.51,5.43,4326900,ok
1550419200,5.39,5.43,5.45,5.37,5335300,ok
1550505600,5.49,5.4,5.51,5.37,5769900,ok
1550592000,5.47,5.5,5.5,5.46,4074400,ok
1550678400,5.38,5.47,5.48,5.35,10786000,ok
1550764800,5.25,5.38,5.38,5.21,5808100,ok
1551024000,5.28,5.25,5.37,5.23,3169700,ok
1551110400,5.16,5.3,5.3,5.15,4629300,ok
1551196800,5.12,5.16,5.17,5.05,4431300,ok
1551283200,5.0,5.1,5.1,4.98,7839200,ok
1551369600,5.14,5.0,5.15,4.99,2481800,ok
1551628800,5.1,5.07,5.12,5.07,1483700,ok
1551715200,4.99,5.08,5.12,4.94,5693100,ok
1551801600,4.93,4.99,5.02,4.93,5573800,ok
1551888000,4.96,4.93,5.03,4.93,3148500,ok
1551974400,4.99,5.0,5.03,4.95,2569700,ok
1552233600,4.75,4.99,4.99,4.75,14581100,ok
1552320000,4.71,4.75,4.77,4.7,6437400,ok
1552406400,4.57,4.71,4.71,4.54,8027700,ok
1552492800,4.62,4.57,4.7,4.55,7171500,ok
1552579200,4.76,4.68,4.76,4.63,7286500,ok
1552838400,4.83,4.8,4.85,4.78,5150500,ok
1552924800,4.75,4.83,4.86,4.71,2942900,ok
1553011200,4.8,4.76,4.82,4.68,3503900,ok
1553097600,4.71,4.82,4.84,4.69,3886900,ok
1553184000,4.62,4.7,4.72,4.52,4567900,ok
1553443200,4.57,4.52,4.61,4.52,5149300,ok
1553529600,4.55,4.58,4.6,4.54,2982400,ok
1553616000,4.63,4.57,4.74,4.57,5506400,ok
1553702400,4.61,4.63,4.64,4.6,5648800,ok
1553788800,4.63,4.62,4.66,4.61,11426200,ok
1554048000,4.71,4.69,4.76,4.65,6038400,ok
1554134400,4.74,4.73,4.79,4.71,3131800,ok
1554220800,4.82,4.76,4.84,4.74,5768100,ok
1554307200,4.79,4.84,4.89,4.75,6639100,ok
1554393600,4.77,4.79,4.83,4.76,6196100,ok
1554652800,4.74,4.78,4.82,4.72,3214700,ok
1554739200,4.75,4.74,4.78,4.7,2866200,ok
1554825600,4.69,4.76,4.76,4.66,3676300,ok
1554912000,4.69,4.7,4.72,4.68,1891700,ok
1554998400,4.71,4.7,4.71,4.65,1181800,ok
1555257600,4.66,4.73,4.74,4.62,2219500,ok
1555344000,4.67,4.66,4.7,4.64,2568800,ok
1555430400,4.73,4.67,4.79,4.67,9028500,ok
1555516800,4.73,4.69,4.76,4.69,6626400,ok
1555603200,4.72,4.73,4.75,4.69,4349000,ok
1555862400,4.81,4.72,4.88,4.72,4860600,ok
1555948800,5.15,4.81,5.19,4.8,7526000,ok
1556035200,5.15,5.18,5.26,5.11,9391000,ok
1556121600,5.05,5.15,5.18,4.99,5930100,ok
1556208000,5.0,5.04,5.05,5.0,3128200,ok
1556467200,5.03,5.0,5.05,5.0,2399800,ok
1556553600,5.03,5.03,5.14,5.01,5482700,ok
1556726400,4.93,5.03,5.03,4.88,6705800,ok
1556812800,4.99,4.93,5.03,4.88,2190000,ok
1557072000,4.98,4.98,4.99,4.88,2389700,ok
1557158400,5.05,4.98,5.1,4.96,5693400,ok
1557244800,4.95,4.88,5.02,4.86,10239400,ok
1557331200,4.88,4.95,4.95,4.8,6077700,ok
1557417600,4.89,4.87,4.91,4.85,1767700,ok
1557676800,4.83,4.89,4.9,4.81,3617500,ok
1557763200,4.99,4.79,5.03,4.73,9259800,ok
1557849600,5.26,4.99,5.3,4.99,11416900,ok
1557936000,5.1,5.24,5.24,5.1,5269200,ok
1558022400,5.1,5.08,5.18,5.05,3867400,ok
1558368000,5.2,5.19,5.22,5.11,3723300,ok
1558540800,5.16,5.2,5.23,5.1,3498600,ok
1558627200,5.15,5.1,5.18,5.1,2056000,ok
1558886400,5.06,5.15,5.15,5.05,1900100,ok
1558972800,5.06,5.06,5.1,5.0,15099600,ok
1559059200,5.22,5.07,5.27,5.06,5324300,ok
1559145600,5.2,5.24,5.25,5.18,3820500,ok
1559232000,5.2,5.19,5.23,5.15,2433300,ok
1559491200,5.28,5.19,5.3,5.15,2256400,ok
1559577600,5.19,5.25,5.25,5.17,2718000,ok
1559836800,5.27,5.18,5.28,5.18,1900900,ok
1560096000,5.34,5.24,5.39,5.24,3193300,ok
1560182400,5.26,5.31,5.34,5.2,1970200,ok
1560268800,5.2,5.26,5.3,5.19,2587200,ok
1560355200,5.2,5.2,5.27,5.17,1241300,ok
1560700800,5.2,5.25,5.28,5.17,1845600,ok
1560787200,5.15,5.2,5.23,5.08,7902200,ok
1560873600,5.19,5.15,5.19,5.11,2686900,ok
1560960000,5.23,5.2,5.24,5.19,2237200,ok
1561046400,5.25,5.23,5.25,5.21,2403000,ok
1561305600,5.24,5.25,5.25,5.22,1413900,ok
1561392000,5.21,5.23,5.23,5.14,2317200,ok
1561478400,5.23,5.23,5.24,5.2,1738900,ok
1561564800,5.26,5.22,5.26,5.22,4520500,ok
1561651200,5.24,5.26,5.27,5.23,3934000,ok
1561910400,5.26,5.24,5.27,5.23,2079300,ok
1561996800,5.23,5.2,5.25,5.19,4326100,ok
1562083200,5.21,5.22,5.23,5.2,5901000,ok
1562169600,5.21,5.2,5.22,5.18,4470900,ok
1562256000,5.22,5.2,5.23,5.19,3981000,ok
1562515200,5.21,5.22,5.22,5.21,2514600,ok
1562601600,5.22,5.21,5.24,5.21,4715800,ok
