t,c,o,h,l,v,s
1546358400,0.93,0.93,0.93,0.93,20000,ok
1546531200,0.935,0.9,0.945,0.89,140900,ok
1546790400,0.935,0.94,0.945,0.9,127100,ok
1546876800,0.93,0.935,0.935,0.93,72900,ok
1546963200,0.935,0.945,0.945,0.92,100000,ok
1547049600,0.915,0.94,0.94,0.915,81000,ok
1547136000,0.915,0.93,0.93,0.9,87000,ok
1547395200,0.9,0.91,0.92,0.9,191000,ok
1547481600,0.91,0.9,0.91,0.9,110000,ok
1547654400,0.93,0.93,0.93,0.93,100,ok
1547740800,0.925,0.925,0.925,0.885,2300,ok
1548086400,0.88,0.88,0.88,0.88,35000,ok
1548172800,0.925,0.925,0.925,0.925,100,ok
1549814400,0.9,0.88,0.915,0.88,20000,ok
1549900800,0.93,0.88,0.94,0.88,117000,ok
1550073600,0.895,0.9,0.9,0.895,16000,ok
1550160000,0.915,0.895,0.915,0.895,50000,ok
1550419200,0.9,0.9,0.9,0.9,10000,ok
1550678400,0.895,0.9,0.9,0.895,12000,ok
1550764800,0.895,0.9,0.9,0.895,13000,ok
1551024000,0.9,0.89,0.9,0.89,10000,ok
1551110400,0.89,0.89,0.89,0.89,2600,ok
1551196800,0.92,0.92,0.92,0.92,100,ok
1551283200,0.88,0.89,0.89,0.88,26400,ok
1551369600,0.885,0.87,0.885,0.87,12000,ok
1551628800,0.88,0.88,0.88,0.88,8000,ok
1551801600,0.88,0.855,0.88,0.855,4500,ok
1551888000,0.9,0.9,0.9,0.9,45500,ok
1551974400,0.88,0.9,0.9,0.88,12000,ok
1552233600,0.88,0.895,0.895,0.88,23000,ok
1552406400,0.88,0.87,0.88,0.87,100100,ok
1552492800,0.93,0.85,0.93,0.83,302000,ok
1553788800,0.89,0.89,0.89,0.89,10000,ok
1554134400,0.87,0.87,0.87,0.87,100,ok
1554220800,0.93,0.815,0.93,0.815,8100,ok
1554652800,0.895,0.88,0.92,0.85,29700,ok
1554912000,0.895,0.855,0.895,0.85,31000,ok
1555344000,0.84,0.84,0.84,0.84,3000,ok
