t,c,o,h,l,v,s
1546358400,0.45,0.45,0.45,0.43,456900,ok
1546444800,0.455,0.45,0.46,0.45,583500,ok
1546531200,0.465,0.455,0.48,0.455,2431100,ok
1546790400,0.47,0.465,0.485,0.465,1366200,ok
1546876800,0.465,0.475,0.475,0.465,819000,ok
1546963200,0.485,0.47,0.49,0.47,2162500,ok
1547049600,0.49,0.49,0.505,0.475,3197600,ok
1547136000,0.5,0.49,0.505,0.49,2471100,ok
1547395200,0.49,0.51,0.51,0.49,1275300,ok
1547481600,0.53,0.495,0.535,0.495,4951100,ok
1547568000,0.525,0.53,0.53,0.51,1811900,ok
1547654400,0.525,0.525,0.53,0.52,696300,ok
1547740800,0.51,0.515,0.525,0.51,1815900,ok
1548086400,0.53,0.51,0.53,0.5,2620500,ok
1548172800,0.52,0.53,0.54,0.51,2371600,ok
1548259200,0.505,0.52,0.52,0.505,793500,ok
1548345600,0.505,0.505,0.51,0.5,895000,ok
1548604800,0.505,0.5,0.505,0.5,885900,ok
1548691200,0.495,0.5,0.505,0.48,796800,ok
1548777600,0.48,0.485,0.49,0.475,1008500,ok
1548864000,0.485,0.48,0.485,0.475,507000,ok
1549209600,0.485,0.48,0.485,0.475,131000,ok
1549468800,0.49,0.485,0.495,0.48,451000,ok
1549555200,0.49,0.485,0.5,0.485,506400,ok
1549814400,0.505,0.485,0.51,0.485,1163400,ok
1549900800,0.505,0.51,0.52,0.505,1539800,ok
1549987200,0.505,0.505,0.51,0.5,833300,ok
1550073600,0.505,0.5,0.505,0.495,684300,ok
1550160000,0.5,0.505,0.505,0.49,766100,ok
1550419200,0.5,0.495,0.5,0.49,733200,ok
1550505600,0.515,0.5,0.515,0.5,1910800,ok
1550592000,0.525,0.52,0.53,0.51,2002900,ok
1550678400,0.56,0.525,0.565,0.525,10350300,ok
1550764800,0.555,0.56,0.58,0.555,6676400,ok
1551024000,0.545,0.565,0.565,0.54,2643000,ok
1551110400,0.53,0.545,0.545,0.52,1461800,ok
1551196800,0.5,0.525,0.525,0.5,1603200,ok
1551283200,0.485,0.5,0.5,0.48,2342600,ok
1551369600,0.49,0.485,0.495,0.475,3060500,ok
1551628800,0.53,0.495,0.54,0.49,6520200,ok
1551715200,0.51,0.53,0.545,0.51,4703000,ok
1551801600,0.515,0.515,0.525,0.51,868600,ok
1551888000,0.515,0.515,0.535,0.515,2286200,ok
1551974400,0.51,0.515,0.52,0.51,1805800,ok
1552233600,0.515,0.51,0.53,0.51,2839000,ok
1552320000,0.53,0.52,0.535,0.51,4446600,ok
1552406400,0.52,0.53,0.53,0.52,2008700,ok
1552492800,0.525,0.52,0.54,0.52,3635600,ok
1552579200,0.535,0.525,0.535,0.52,3860700,ok
1552838400,0.525,0.54,0.54,0.525,1506400,ok
1552924800,0.51,0.525,0.53,0.51,1692400,ok
1553011200,0.51,0.515,0.515,0.51,1319200,ok
1553097600,0.495,0.51,0.51,0.495,2439400,ok
1553184000,0.5,0.5,0.51,0.5,1143100,ok
1553443200,0.49,0.505,0.505,0.485,1659900,ok
1553529600,0.495,0.49,0.5,0.49,999600,ok
1553616000,0.49,0.495,0.5,0.485,1868900,ok
1553702400,0.49,0.485,0.49,0.485,727900,ok
1553788800,0.49,0.49,0.49,0.48,988400,ok
1554048000,0.505,0.49,0.51,0.48,3979900,ok
1554134400,0.5,0.51,0.515,0.5,1671700,ok
1554220800,0.5,0.5,0.51,0.5,1438000,ok
1554307200,0.52,0.505,0.525,0.505,5745600,ok
1554393600,0.51,0.52,0.52,0.51,1025300,ok
1554652800,0.53,0.515,0.535,0.515,5472600,ok
1554739200,0.53,0.53,0.535,0.525,2695200,ok
1554825600,0.575,0.525,0.585,0.52,18735600,ok
1554912000,0.605,0.59,0.655,0.59,34560800,ok
1554998400,0.595,0.615,0.62,0.595,8284400,ok
1555257600,0.565,0.595,0.6,0.56,3579600,ok
1555344000,0.555,0.565,0.58,0.55,3154900,ok
1555430400,0.53,0.55,0.555,0.525,4869300,ok
1555516800,0.545,0.53,0.555,0.52,5227900,ok
1555603200,0.575,0.585,0.585,0.56,10982300,ok
1555862400,0.665,0.61,0.675,0.605,45371500,ok
1555948800,0.61,0.615,0.635,0.6,12992100,ok
1556035200,0.615,0.61,0.625,0.6,7433200,ok
1556121600,0.64,0.62,0.695,0.615,50495300,ok
1556208000,0.63,0.65,0.65,0.62,7709100,ok
1556467200,0.61,0.625,0.63,0.605,4521500,ok
1556553600,0.605,0.61,0.62,0.6,3462500,ok
1556726400,0.57,0.605,0.605,0.565,7513300,ok
1556812800,0.595,0.565,0.6,0.56,6895200,ok
1557072000,0.57,0.58,0.59,0.57,3497900,ok
1557158400,0.58,0.575,0.59,0.575,2720600,ok
1557244800,0.575,0.57,0.585,0.565,3603300,ok
1557331200,0.565,0.575,0.58,0.565,2335700,ok
1557417600,0.565,0.565,0.575,0.555,2026600,ok
1557676800,0.54,0.56,0.565,0.535,2400000,ok
1557763200,0.555,0.54,0.555,0.53,3269700,ok
1557849600,0.555,0.56,0.565,0.55,1886100,ok
1557936000,0.555,0.555,0.56,0.545,581100,ok
1558022400,0.54,0.55,0.56,0.54,1509400,ok
1558368000,0.55,0.54,0.565,0.54,2073400,ok
1558540800,0.525,0.555,0.555,0.525,1735800,ok
1558627200,0.53,0.52,0.535,0.52,1077500,ok
