t,c,o,h,l,v,s
1546358400,2.67,2.78,2.78,2.65,409200,ok
1546444800,2.49,2.67,2.67,2.47,1539800,ok
1546531200,2.32,2.45,2.45,2.3,3144500,ok
1546790400,2.64,2.41,2.65,2.41,2411500,ok
1546876800,2.77,2.68,2.77,2.66,3099200,ok
1546963200,2.85,2.79,2.88,2.74,1325900,ok
1547049600,2.8,2.86,2.86,2.73,1077000,ok
1547136000,2.74,2.75,2.8,2.74,187900,ok
1547395200,2.68,2.74,2.76,2.65,830100,ok
1547481600,2.67,2.68,2.73,2.65,763600,ok
1547568000,2.72,2.69,2.75,2.69,1579600,ok
1547654400,2.86,2.73,2.94,2.73,2335000,ok
1547740800,2.83,2.88,2.98,2.8,1176000,ok
1548086400,2.77,2.88,2.88,2.75,465300,ok
1548172800,2.79,2.75,2.82,2.74,197200,ok
1548259200,2.81,2.8,2.85,2.77,1012700,ok
1548345600,2.92,2.83,2.95,2.83,3372700,ok
1548604800,2.86,2.95,2.97,2.83,863500,ok
1548691200,2.9,2.83,2.91,2.82,1419400,ok
1548777600,3.14,2.9,3.16,2.9,3225800,ok
1548864000,3.14,3.19,3.28,3.1,2606600,ok
1549209600,3.17,3.15,3.19,3.14,280100,ok
1549468800,3.13,3.17,3.24,3.1,1240400,ok
1549555200,3.14,3.11,3.14,3.08,453400,ok
1549814400,3.17,3.14,3.21,3.11,1175300,ok
1549900800,3.26,3.17,3.26,3.17,1710700,ok
1549987200,3.17,3.29,3.3,3.13,1972500,ok
1550073600,3.19,3.16,3.22,3.15,926900,ok
1550160000,3.2,3.19,3.21,3.17,1686300,ok
1550419200,3.21,3.22,3.22,3.18,770400,ok
1550505600,3.26,3.21,3.3,3.21,1665300,ok
1550592000,3.35,3.27,3.39,3.27,2503000,ok
1550678400,3.35,3.35,3.4,3.33,1579600,ok
1550764800,3.32,3.33,3.36,3.27,698300,ok
1551024000,3.33,3.33,3.37,3.3,1077000,ok
1551110400,3.39,3.33,3.39,3.27,1542800,ok
1551196800,3.43,3.39,3.46,3.36,2148400,ok
1551283200,3.38,3.4,3.43,3.35,1108100,ok
1551369600,3.38,3.38,3.41,3.34,932200,ok
1551628800,3.48,3.35,3.5,3.35,2253000,ok
